iter	R2	RMSE
712	0.9415743531	0.8299933675
713	0.9416020355	0.8297967163
714	0.9416390659	0.8295335855
715	0.9416677509	0.8293296984
716	0.9416848946	0.8292078206
717	0.9417042409	0.8290702624
718	0.9417301973	0.8288856685
719	0.9417514903	0.8287342086
720	0.9417856367	0.8284912631
721	0.9418082589	0.8283302707
722	0.9418347938	0.8281413941
723	0.9418535419	0.8280079181
724	0.9418730953	0.8278686853
725	0.9418892893	0.8277533566
726	0.9419044683	0.8276452413
727	0.9419270283	0.8274845279
728	0.9419555867	0.8272810377
729	0.9419786353	0.8271167711
730	0.9420011499	0.8269562781
731	0.9420228316	0.8268016929
732	0.9420369589	0.8267009535
733	0.9420520216	0.8265935304
734	0.9420671875	0.8264853567
735	0.9420897044	0.8263247256
736	0.9421077921	0.826195668
737	0.9421267946	0.8260600619
738	0.9421473013	0.8259136969
739	0.9421760098	0.8257087476
740	0.9422036276	0.8255115377
741	0.9422301466	0.8253221288
742	0.9422493873	0.8251846777
743	0.9422680657	0.825051221
744	0.9422954946	0.8248552036
745	0.9423238216	0.8246527193
746	0.9423444089	0.8245055271
747	0.9423672584	0.8243421314
748	0.9423834212	0.8242265324
749	0.942397598	0.8241251235
750	0.9424115049	0.8240256335
751	0.9424257023	0.8239240534
752	0.9424414074	0.8238116702
753	0.9424564855	0.8237037602
754	0.9424763593	0.8235615064
755	0.9424891905	0.82346965
756	0.9425012756	0.8233831247
757	0.942515105	0.8232841004
758	0.9425354523	0.8231383834
759	0.9425502807	0.8230321732
760	0.9425741886	0.8228609012
761	0.9425883386	0.8227595166
762	0.942613457	0.8225795129
763	0.9426371182	0.8224099151
764	0.9426647227	0.8222120092
765	0.9426901597	0.8220296003
766	0.9427142076	0.8218571152
767	0.9427341212	0.8217142564
768	0.942754264	0.8215697281
769	0.9427684326	0.8214680505
770	0.9427890735	0.8213199039
771	0.9428111715	0.821161269
772	0.9428328339	0.8210057314
773	0.9428569864	0.82083228
774	0.9428771299	0.8206875912
775	0.9428938531	0.8205674511
776	0.9429095369	0.8204547617
777	0.9429286021	0.8203177563
778	0.942976185	0.8199757173
779	0.9430021291	0.8197891642
780	0.9430206286	0.8196561162
781	0.9430511833	0.8194363199
782	0.9430633921	0.8193484791
783	0.9430845539	0.8191962002
784	0.9430953458	0.8191185315
785	0.9431094761	0.8190168251
786	0.943128028	0.818883274
787	0.9431473522	0.8187441409
788	0.9431655724	0.8186129344
789	0.9431815516	0.8184978484
790	0.9431988394	0.8183733187
791	0.9432163631	0.8182470712
792	0.9432253995	0.8181819614
793	0.9432429571	0.8180554403
794	0.9432607348	0.8179273126
795	0.9432806551	0.8177837188
796	0.9432984133	0.8176556895
797	0.9433229602	0.8174786829
798	0.9433502387	0.8172819344
799	0.9433761281	0.8170951607
800	0.9433912925	0.8169857404
801	0.9434096659	0.8168531457
802	0.9434245104	0.8167460024
803	0.9434549308	0.8165263922
804	0.9434732142	0.816394373
805	0.9434958085	0.8162311967
806	0.9435170503	0.8160777577
807	0.9435378002	0.8159278448
808	0.9435606378	0.8157628164
809	0.9435750653	0.8156585435
810	0.9435943446	0.8155191847
811	0.9436064728	0.8154315043
812	0.9436257287	0.8152922757
813	0.9436450128	0.8151528187
814	0.943659275	0.815049664
815	0.9436758718	0.8149296067
816	0.9436936612	0.8148009033
817	0.9437089187	0.8146905011
818	0.9437272217	0.8145580419
819	0.9437470738	0.8144143486
820	0.9437613507	0.8143109933
821	0.9437701526	0.8142472672
822	0.9437851441	0.8141387162
823	0.9438079093	0.8139738493
824	0.9438244277	0.8138542015
825	0.9438413682	0.8137314781
826	0.9438682919	0.8135363938
827	0.9438866917	0.8134030453
828	0.943911163	0.8132256616
829	0.9439413508	0.8130067878
830	0.94396353	0.8128459417
831	0.9439752682	0.8127608019
832	0.9439874727	0.8126722704
833	0.9440132676	0.8124851229
834	0.9440280209	0.8123780651
835	0.9440476951	0.8122352772
836	0.9440641017	0.8121161843
837	0.9440898146	0.8119295044
838	0.9441212084	0.811701521
839	0.94414019	0.8115636454
840	0.9441632796	0.8113958984
841	0.944178263	0.811287025
842	0.9441921693	0.8111859648
843	0.9442134741	0.8110311137
844	0.9442275349	0.8109288985
845	0.9442442211	0.8108075806
846	0.944268752	0.8106291955
847	0.9442799304	0.8105478949
848	0.944311797	0.8103160833
849	0.9443307823	0.8101779442
850	0.9443475776	0.8100557208
851	0.9443707366	0.8098871565
852	0.944386231	0.8097743594
853	0.9444093165	0.8096062716
854	0.9444269651	0.809477747
855	0.9444415324	0.8093716467
856	0.9444588167	0.8092457382
857	0.9444808922	0.8090849004
858	0.9444977107	0.8089623422
859	0.9445140585	0.8088431968
860	0.9445347202	0.8086925851
861	0.9445608955	0.8085017423
862	0.9445731481	0.8084123939
863	0.9445894681	0.8082933699
864	0.9446042396	0.808185624
865	0.9446374772	0.807943131
866	0.9446506398	0.8078470799
867	0.9446678215	0.8077216833
868	0.9446839666	0.807603834
869	0.9446983182	0.8074990621
870	0.9447101238	0.8074128663
871	0.9447274837	0.8072861011
872	0.9447481935	0.8071348479
873	0.9447607598	0.8070430564
874	0.9447743674	0.8069436468
875	0.9447992677	0.8067617077
876	0.9448104718	0.8066798296
877	0.9448223362	0.8065931163
878	0.9448462126	0.8064185833
879	0.9448684544	0.8062559658
880	0.9448802522	0.806169694
881	0.9448959455	0.8060549226
882	0.9449117111	0.8059396053
883	0.944928715	0.8058152129
884	0.9449449939	0.8056961056
885	0.9449667403	0.8055369677
886	0.9449843663	0.8054079586
887	0.9449995841	0.8052965599
